"virus";"material";"temperature";"humidity";"replicate";"time";"titer"
"MERS-CoV";"Steel";"21-23";"40";"1";"0";"56234.132519034953"
"MERS-CoV";"Steel";"21-23";"40";"2";"0";"100000"
"MERS-CoV";"Steel";"21-23";"40";"3";"0";"56234.132519034953"
"MERS-CoV";"Steel";"21-23";"40";"1";"1";"56234.132519034953"
"MERS-CoV";"Steel";"21-23";"40";"2";"1";"56234.132519034953"
"MERS-CoV";"Steel";"21-23";"40";"3";"1";"31622.77660168384"
"MERS-CoV";"Steel";"21-23";"40";"1";"4";"10000"
"MERS-CoV";"Steel";"21-23";"40";"2";"4";"5623.4132519034993"
"MERS-CoV";"Steel";"21-23";"40";"3";"4";"31622.77660168384"
"MERS-CoV";"Steel";"21-23";"40";"1";"8";"5623.4132519034993"
"MERS-CoV";"Steel";"21-23";"40";"2";"8";"17782.794100389234"
"MERS-CoV";"Steel";"21-23";"40";"3";"8";"10000"
"MERS-CoV";"Steel";"21-23";"40";"1";"24";"100"
"MERS-CoV";"Steel";"21-23";"40";"2";"24";"177.82794100389242"
"MERS-CoV";"Steel";"21-23";"40";"3";"24";"31.622776601683803"
"MERS-CoV";"Steel";"21-23";"40";"1";"48";"10"
"MERS-CoV";"Steel";"21-23";"40";"2";"48";"17.782794100389236"
"MERS-CoV";"Steel";"21-23";"40";"3";"48";"10"
"MERS-CoV";"Steel";"21-23";"40";"1";"72";"3.1622776601683795"
"MERS-CoV";"Steel";"21-23";"40";"2";"72";"3.1622776601683795"
"MERS-CoV";"Steel";"21-23";"40";"3";"72";"3.1622776601683795"
"MERS-CoV";"Plastic";"21-23";"40";"1";"0";"56234.132519034953"
"MERS-CoV";"Plastic";"21-23";"40";"2";"0";"31622.77660168384"
"MERS-CoV";"Plastic";"21-23";"40";"3";"0";"56234.132519034953"
"MERS-CoV";"Plastic";"21-23";"40";"1";"1";"56234.132519034953"
"MERS-CoV";"Plastic";"21-23";"40";"2";"1";"31622.77660168384"
"MERS-CoV";"Plastic";"21-23";"40";"3";"1";"56234.132519034953"
"MERS-CoV";"Plastic";"21-23";"40";"1";"4";"31622.77660168384"
"MERS-CoV";"Plastic";"21-23";"40";"2";"4";"10000"
"MERS-CoV";"Plastic";"21-23";"40";"3";"4";"562.34132519034927"
"MERS-CoV";"Plastic";"21-23";"40";"1";"8";"3162.2776601683804"
"MERS-CoV";"Plastic";"21-23";"40";"2";"8";"5623.4132519034993"
"MERS-CoV";"Plastic";"21-23";"40";"3";"8";"5623.4132519034993"
"MERS-CoV";"Plastic";"21-23";"40";"1";"24";"562.34132519034927"
"MERS-CoV";"Plastic";"21-23";"40";"2";"24";"177.82794100389242"
"MERS-CoV";"Plastic";"21-23";"40";"3";"24";"100"
"MERS-CoV";"Plastic";"21-23";"40";"1";"48";"3.1622776601683795"
"MERS-CoV";"Plastic";"21-23";"40";"2";"48";"5.6234132519034921"
"MERS-CoV";"Plastic";"21-23";"40";"3";"48";"3.1622776601683795"
"MERS-CoV";"Plastic";"21-23";"40";"1";"72";"3.1622776601683795"
"MERS-CoV";"Plastic";"21-23";"40";"2";"72";"3.1622776601683795"
"MERS-CoV";"Plastic";"21-23";"40";"3";"72";"3.1622776601683795"
"MERS-CoV";"Copper";"21-23";"40";"1";"0";"1467.7992676220699"
"MERS-CoV";"Copper";"21-23";"40";"2";"0";"681.29206905796138"
"MERS-CoV";"Copper";"21-23";"40";"3";"0";"1467.7992676220699"
"MERS-CoV";"Copper";"21-23";"40";"1";"1";"1467.7992676220699"
"MERS-CoV";"Copper";"21-23";"40";"2";"1";"681.29206905796138"
"MERS-CoV";"Copper";"21-23";"40";"3";"1";"1467.7992676220699"
